PID,Gender,Age,Handedness,Video Games,3D Environment,Immersive Tech,Condition,StressPrediction,NumberOfColors,C,Order,Trial duration,Time Spent assigning task,Idle Time,Portion of time worked,Team success,Team failure,Team Success Rate,Team Score,Team Score per task,Team Score per minute,CA_taskQueue,CA_currentStress,CA_futureStress,CA_testedStress,CA_strategy,CA_speed,mental,physical,temporal,performance,effort,frustration,stratChangeVisu,stratChangeOther,CurrentStressFB,FutureStressFB,TestedStressFB,colorPref,remarks
1,Male,29,Right-handed,4,5,4,3 Colors - No Prediction,No Prediction,3,1,1,533.084,306.216,226.86799999999994,0.5416666666666666,81.0,91.0,0.47093023255813954,78.95,0.47093023255813954,8.886029218659724,4,4,N/A,N/A,Give easy tasks to stressed people; hard ones to non-stressed people,1,3,3,2,2,3,3,"I mostly focused on colour, rather than look into texture substantially. I mostly tried to look for most green in contrast to red. ","I focused more on speed towards the later half of the experiment, and was less concerned about easy vs. hard tasks - maybe because I was receiving more information (thus more green). ","Yes, to understand the current state of each worker. ","Its important, but I wouldn't say as important as current stress. ","Yes, I think it would help make decisions more carefully, although I wasn't super aware of it. ",5 Levels (Right),"I mostly focused on colour, so having more green or yellow reduced the stress of picking workers for me, but potentially it resulted in more stress in the workers, although I wasn't sure. "
20,Male,26,Right-handed,5,5,5,3 Colors - No Prediction,No Prediction,3,1,2,650.993,370.053,280.94000000000005,0.47333333333333333,168.0,5.0,0.9710982658959537,166.58999999999997,0.9710982658959537,15.354082148348748,4,5,N/A,N/A,"I tried to only give tasks to green status operators, and initially tried to give the hard tasks to the slower operators in an attempt to simplify the task however I'm not sure if that worked as intended. ",4,2,2,2,2,3,2,"When I did not have a prediction, I think I found myself using the current stress as a timer, and settled on ""when it turns green, I add new tasks"", even though that was not fully optimal. I think the prediction caused me to be more accurate/careful about which tasks to assign.  ","Over the experiment I tried a few different combinatinos of assigning specific task types to operators speeds, though I did not find this made a difference beyond giving myself some amount of rigid structure to follow. Towards the end, I was more open to giving tasks to partially stressed operators due to the desire to finish the task quickly. ","As a base level feedback, I think this it is important, however I wonder if I only had predicted/tested values if I would still be able to safely assign tasks. ","Having this metric enabled me to be more accurate and careful about which operator I assigned to and when as it enabled me to plan ahead somewhat, versus simply using the current stress level as a trigger timer. ","I think this layered on top of the future stress level feedback to help me visualise the impact of each task, whereas without I am simply guessing and tend to revert back to the timer approach. ",5 Levels (Right),nan
21,Male,25,Right-handed,5,5,5,3 Colors - No Prediction,No Prediction,3,1,1,610.753,406.036,204.71700000000004,0.5100000000000001,150.0,22.0,0.872093023255814,149.85,0.872093023255814,14.721172061373418,2,3,N/A,N/A,"Never give tasks to people in the red, give easy tasks to people in yellow and hard tasks to people in green.",1,4,3,4,2,4,3,"Yes, the predictions of the stress level becomes really useful and helped me optimize my assignment. Without it, I would never give a worker more than 1 task, especially if they were yellow, as I was afraid it would cause them to go in the red. With the prediction, I could confidently give my workers a larger task list (although not too big) because I knew that the tasks I chose would not make them go in the red.
However, I did not really change my strategy between the 3 and 5 colour conditions.",I don't think so no. My goal during the entire experiment was to keep the operators in the yellow.,"If you don't have access to prediction, yes, as it's the only way to measure stress and decide which task to assign. If you have access to the ""tested future stress"" then it almost becomes useless: as a manager, your decisions are based on ""what if I gave this person this task"" rather than ""in what state is my worker currently in"". If you have direct access to ""what if I gave my person this task"", then that's all you need. Otherwise, if you don't, it's important to know what state your worker is currently in so that you can estimate what state it will be in if you gave him a certain task.","Definitely useful, if you don't have access to ""tested future stress level"". Otherwise, not super useful. Same reasoning as in previous question.","Yes, it's the most important metric, see reasoning in previous questions.",3 Levels (Left),"Interesting experiement, although I'm not a fan of the task assignment interactions. Sometimes I would think I picked up easy tasks and they turned out to be hard ones, because it's kinda hard to know which one is actually gonna be picked up. In addition, it's hard to mistake a hard task with an easy one since the only thing that distinguishes them is the text on it; it'd be faster and less error-prone to have cubes of different colors.
Additionally, gravity would sometimes cause the cubes to fall in the wrong baskets. My ideal UI for this would be to have a pile of easy tasks on the left and a pile of hard tasks on the right.
Also: oculus's tracking is much better :p"
22,Male,28,Right-handed,5,4,4,3 Colors - No Prediction,No Prediction,3,1,3,637.464,446.078,191.38600000000008,0.505,156.0,16.0,0.9069767441860465,154.39,0.9069767441860465,14.531644139904369,3,4,N/A,N/A,I tried to wait until it was green but hard to predict with just 3 colors,3,4,4,2,3,3,3,I mainly always tried to focus on predicting if the task I would add would cause them to go into the red.,Not really but the ones with yellow/green combination helped a lot,Yes so you can see how the operator is going on the current task,Less important as the tested future stress seems to predict it mainly. At least I used it for predicting more,"Yes, this was the most helpful so I could prepare multiple tasks but not overload the operator",5 Levels (Right),I think 5 is the best balance of level as I can see when they are becoming tired and avoid overloading them with more tasks.
23,Male,24,Right-handed,4,4,3,3 Colors - No Prediction,No Prediction,3,1,4,616.483,201.604,414.8789999999999,0.4916666666666667,141.0,32.0,0.815028901734104,140.07,0.815028901734104,13.632492704583905,5,5,N/A,N/A,same as before but more reliant on task queue,3,2,3,2,3,4,3,yes because I had different indications,no,yes ,not really,very much indeed,5 Levels (Right),l'éternité c'est long surtout vers la fin
24,Male,29,Left-handed,4,3,1,3 Colors - No Prediction,No Prediction,3,1,2,625.950,330.103,295.84700000000004,0.49666666666666665,153.0,19.0,0.8895348837209303,154.60999999999999,0.8895348837209303,14.820033549005508,3,5,N/A,N/A,wait for green stress level to assign task,2,2,2,1,3,2,1,"yes, but in the end I based the assignation only on the (future) stress level","yes, be less in a hurry as time was not a factor",yes just for the information,I don't know,yes because this is what we want to know to assign tasks,5 Levels (Right),nan
25,Female,27,Right-handed,2,5,4,3 Colors - No Prediction,No Prediction,3,1,1,613.010,267.507,345.503,0.4933333333333334,148.0,25.0,0.8554913294797688,149.76,0.8554913294797688,14.658162183324903,5,5,N/A,N/A,"First, I test the endurance of the maquettes then decide to distribute the amount of hard tasks. One maquette will have 2 hards and one easy as soon as the circle turns green. If the circle stays yellow, the easy tasks will be handed out. The maquettes will rest when their circles become red.",1,5,4,3,3,4,3,I did not change anything. I test the water first then proceed to figure how things work and later make my decisions.,"I did not change anything. Even without the stress feedbacks, with my testing prior actual study condition, I could figure out somewhat how to play",Yes. This is a good indicator for decision making,Yes. This is a good indicator for assesment. ,Yes. This is a good indicator for assesment and decision making because it shows the possible outcome.,5 Levels (Right),nan
26,Male,27,Left-handed,4,2,2,3 Colors - No Prediction,No Prediction,3,1,3,634.001,321.971,312.03,0.5066666666666667,156.0,16.0,0.9069767441860465,156.79,0.9069767441860465,14.838146942985894,4,5,N/A,N/A,I tried to maximize the number of available workers in green/orange. To do so I assigned easy task to worker that I observed the stress to not increase too fast and to give hard task to workers that are fast. At the same time I had to sometime wait for the workers to rest in order to be optimal afterward in terms of available workers.,4,3,2,3,4,3,1,"Yes I changed my strategy when I was only having the current stress feedback since I could not know beforehand the evolution of the worker stress. Thus I tried first to identify how the stress of the workers change by giving them hard task and see how the color change and how long they would need to recover. I tried to do it 2 by 2 compare to the other session when I had this information available and where I could directly test each worker. I feel like it took me longer to determine the characteristics of the team with solely this information, but at the same time it was way clearer to use this information solely in my decision making process.",I fee like I did learn over the different sessions and improve my skills. I would say that my last session was way better than my first one because I knew what to expect in terms of resting time and what to do to reduce it. My overall strategy did not changed much but I was just better at it I would say.,Yes it is very important because for me it was the principal information I used to decide how to assign the taks. If a worker is too stresses I will loose more time on the long term by giving him a task or a hard task.,I think the future stress is also important but more for the planning part in the sense that based on the future stress I was able to organize multiple task to assign instead of one task only based on the current stress. It did help a lot to learn how the team behave against stress and to then adapt my management.,"I think out of the 3 type of stress, the tested future stress was the one that less help me to complete the task or to make decision. It is still important but I was putting way more empathy on the 2 previous type of stress already so I did not really used it.",3 Levels (Left),Great job!
27,Male,27,Right-handed,4,5,5,3 Colors - No Prediction,No Prediction,3,1,4,678.571,489.009,189.562,0.49499999999999994,163.0,9.0,0.9476744186046512,161.51,0.9476744186046512,14.280893230037826,3,5,N/A,N/A,Tried to keep their current stress levels primarily green & did abit of guesswork (i.e. how long they have been green) to assign tasks.,3,3,3,3,3,3,2,Yes. When I had the tested stress I was primarily relying on that to assign tasks & try to keep it in the green. When I was depending on the current stress it required abit more guesswork to figure out when to assign tasks.,I don't think so.,Not really (if you have the tested stress).,Not really (if you have the tested stress).,Yes. Because it allowed me to better understand when to assign tasks to operators.,5 Levels (Right),nan
28,Male,24,Right-handed,5,5,5,3 Colors - No Prediction,No Prediction,3,1,2,639.832,139.334,500.498,0.53,102.0,72.0,0.5862068965517241,101.59,0.5862068965517241,9.526563222845999,2,3,N/A,N/A,Spin around like a clown at the circus with my mouth open looking for green dots,2,4,5,3,4,4,4,"Without future stress I changed from ""Max out their stress until it's about to hit red"" to ""Let them relax until they hit green-yellow""","I focussed more on keeping stress levels down than keeping work up, resulting in longer experiment run time","Yes, knowing how stressed they are currently helps to know how long it will take for them to relax and get onto other tasks","Yes, knowing how stressed they are going to be in the future helps to not assign tasks to someone who is yet to feel the stress of their current workload","Yes, knowing how stressed they are going to be if you give them the task you are holding helps to minimise overall stress",5 Levels (Right),"Although I liked having the future predicitons, I scored higher without having them and only having the intermediate colours"
2,Male,33,Right-handed,5,5,5,3 Colors - No Prediction,No Prediction,3,1,3,551.675,237.840,313.8349999999999,0.5116666666666666,112.0,60.0,0.6511627906976745,111.16,0.6511627906976745,12.089726741287896,5,5,N/A,N/A,I split the team into groups and tried to give each group a easy then a hard task this would be switched up when I they were getting stressed when I would let them rest and try to and change the groups so the ones that weren't would get the harder tasks,3,4,3,3,3,4,2,"Yes I did, If I could relly on the tested stress I would as this would allow me to ensure my operators wouldn't run it to issues halfway though thier tasks. For the other versions I let them go up to red on a ring then I would let them rest. The tested stress would also give me a clear cue when it was time to give them a  easy task. ","Not really, I used to training to work out how the visulizations worked and I these strategies worked for the most part. ",If I know my operators are currently stressed I am aware that I need to give them some space and leave them alone for a while. ,This one is useful as it allows me to plan ahead while I am giving tasks to my other operators,This one is very useful as it lets me know to some degree what is the chance of this task being completed successfully if I give it to this operator. ,5 Levels (Right),"Very well made and a good study, "
3,Female,29,Right-handed,1,4,4,3 Colors - No Prediction,No Prediction,3,1,4,278.602,39.604,238.998,0.19333333333333336,27.0,5.0,0.84375,26.32,0.84375,5.6683010172217,5,5,N/A,N/A,"same as others, when green, give hard task, when yellow give easy task. when red, let it rest ",5,4,4,1,1,4,1,"no, i didn't change the strategy. I only wait the people to finish their job, then assign the next task to them. If there is any time limitation, then my strategy might change. But, without the time limitations, so i can just do it slowly wait it to finish, then only assign the next tasks based on their current stress level. ","No. same color same level of tasks. as long as it is not green, then it means i'll assign the easy tasks. ","Yeah, current stress helps to understand once they finish their job, are they eligible to do the next hard tasks or easy tasks. Honestly, while they complete the tasks, the stress level, I didn't care. ","Future stress would help when there is a time limitations. Like when the boss/manager need to assign the job as soon as possible, and leave, then the future stress would help the manager to decide if they want to assign hard or easy tasks. or it would work when they have to assign more than 2 tasks at a time. ",Not sure about this one. I didn't check it. ,3 Levels (Left),"3 levels would help under current situations, when we have the time limitations, then I think 5 levels might help the managers to decide what kind of task they want to assign it to them and how many maybe. "
4,Female,26,Right-handed,2,4,4,3 Colors - No Prediction,No Prediction,3,1,2,486.888,284.966,201.92199999999997,0.5583333333333332,47.0,125.0,0.27325581395348836,53.27,0.27325581395348836,6.564548725784986,2,4,N/A,N/A,"I figured out who were the fast working operators and assigned them the hard tasks. Also, I tried to assign atleast two tasks(one easy and one hard) to each operator everytime.",4,3,4,2,3,2,1,"Not particularly, My strategy was to assign hard tasks to fast working and less stressed operators","I didn't have to change my strategy but for one condition(texture and future prediction), I couldn't figure out the fast and slow operators, so I solely relied on the stress levels.","Yes, It shows if we should asign them any more tasks or not","Yes, It helps in deciding if we should assign them an hard or easy task","Yes, It shows if we should assign them any more tasks or not",3 Levels (Left),Although 5 stress levels were insightful but they were overwhelming.
5,Male,28,Right-handed,5,5,5,3 Colors - No Prediction,No Prediction,3,1,1,565.398,390.918,174.48000000000002,0.505,170.0,2.0,0.9883720930232558,163.4,0.9883720930232558,17.33999766536139,1,5,N/A,N/A,I will dispatch the hard tasks to the operators who have longer rest and easier tasks to short rest operators. I will wait the stress levels to turn green. ,1,4,3,3,2,4,2,"yes, when I can forecast the stress level, I intend to plan the assignment before they finish the tasks. ",Because the stress level forcast can only calculate one operator's stree level based. I have to use one hand to assign tasks. ,"Yes, becase so that I can have a straight forward impression of what level they are. ","yes, so I can plan the assignment before they finish the tasks. ","Not really, because it can only calculate one operator's stress level. It has a little bit conflit to  my habit that I used to assign tasks to different operators at the same time with two hands. ",5 Levels (Right),Not really. 
6,Male,25,Right-handed,3,2,1,3 Colors - No Prediction,No Prediction,3,1,3,583.748,304.330,279.41800000000006,0.515,140.0,32.0,0.813953488372093,134.71,0.813953488372093,13.84604315560824,2,5,N/A,N/A,reperer les plus rapides travailleurs et faire attention au current stress level,4,3,3,3,3,3,3,"Oui, je regardais pas le meme indicateur, et dans le mode avec moins d'indicateur , j'apportais plus d'interet aux travailleurs rapide ","oui, je laissais plus de temps de pause. dans la derniere experience mon objectif etait de ne pas depasser le jaune dans le dernier cercle. mais de donner des taches quand le cercle au milieu etait vert. ","yes, c'est très important de connaitre l'etat du travailleur","je n'ai pas trop regardé, car je me concentre sur le ""tested future stress"" . ",le plus important pour moi. la strategie global etait de se concentre de ne pas depasser l'etat moyen-bas.,5 Levels (Right),"Il est peut-etre interresant de savoir combien de fois un travailleur a ete dans le rouge. 

Mais il aurait pu etre utiliser au bout de la troisieme utilisation. "
7,Male,24,Right-handed,2,5,4,3 Colors - No Prediction,No Prediction,3,1,4,643.558,569.904,73.654,0.5,158.0,14.0,0.9186046511627907,161.42000000000002,0.9186046511627907,15.049459411583728,4,5,N/A,N/A,Same as previous one.,4,2,1,1,2,1,1,I always wanted to make sure that either the futur visual stress or the current one were either in green or in green/yellow.,"In the 2 last tests, I considered the speed of the operators to assign tasks in addition of the stress feedbacks.","In the experiment, it is important in order to have the highest score. In the real life, the stress acts on the performance of the person so this one becomes less performant.","Yes for the same reasons, and also because a team manager able to know the future level of stress of everyone will be able to optimize the work of the whole team.","In the experiment, it is useful in order to assign either a hard task or an easy one.",5 Levels (Right),Well done!
8,Female,22,Right-handed,3,4,2,3 Colors - No Prediction,No Prediction,3,1,2,681.315,278.144,403.17100000000005,0.48,168.0,5.0,0.9710982658959537,168.62,0.9710982658959537,14.849518944981396,5,5,N/A,N/A,"Assign task slower and more in live. I didn't put a lot of tasks in advance in the baskets, and let the operators rest more than the first simulation",4,4,2,3,4,3,3,"Yes, with more visibility of the futurs states, I was able to distribute better the task, and to avoid rushing the thing","Yes, with the experimet, I really learn that if you want to make a good score, you really have to take time for your operators to rest, and to remember as good as possible the level of difficulty I gave them before to better adapt the next one.","Yes because it alloxs you to change your strategy in the middle of the situation, better flexibility and way to improuve","Yes, so that you can always stay in green","Same, to always stay in green",5 Levels (Right),"Really interesting, just, we can't see all the operators at one, but maybe it is on purpose"
9,Female,22,Right-handed,5,4,4,3 Colors - No Prediction,No Prediction,3,1,1,497.471,347.518,149.95300000000003,0.62,66.0,106.0,0.38372093023255816,66.2,0.38372093023255816,7.984385019428268,5,5,N/A,N/A,j'assignaient des taches Ã  ceux qui n'en avait pas et plus les easy aux lents et hard aux rapides,4,3,2,1,2,3,3,oui j'ai arrêté de regarder le niveau de stress actuel et le défilé des taches à partir du moment où je pouvais voir le niveau qu'atteindrais l'opérateur avec la tache que j'avais dans la main,no,oui cela est intéressant dans l'optique où à la place des opérateur il y aurait des vrais personnes cela n'influencerais pas beaucoup la stratégie mais il serait important de connaitre ce paramètre.,oui car cela permet de prévoir à l'avance la stratégie à employer plus tard,oui car cela permet d'assigner plus efficacement les taches aux opérateurs en gérant mieux leur niveau de stress.,5 Levels (Right),nan
10,Male,19,Left-handed,5,3,3,5 Colors - No Prediction,No Prediction,5,2,1,586.309,328.592,257.717,0.5016666666666668,159.0,13.0,0.9244186046511628,158.57999999999998,0.9244186046511628,16.228302823255312,2,4,N/A,N/A,"when ever low medium . i give them hard, if i think they are low-medium close to low, i will extra give them a easy. And try not to let them up to medium or medium -high",1,3,1,3,3,2,1,"no, it basiclly the same stragtegy i use everytime, but just getting more accurate if have prediction and more details (like low-medium display instead of 3 colours)","no, i think it is the best stragtegy and most affective one","if i can't see it, i just have to guess tehir streess level, it will not be accurate distributing tasks if i can't see them","yes, it really helps my distribution mroe accurate, i mean coutnign down their stress level in brain won't be accurate especially their speed are different","not really, because it do basiclly the same as future stress level",5 Levels (Right),Bigger table
11,Male,27,Right-handed,4,5,5,5 Colors - No Prediction,No Prediction,5,2,3,608.601,552.860,55.740999999999985,0.5033333333333334,145.0,28.0,0.838150289017341,142.51,0.838150289017341,14.049598998358528,5,5,N/A,N/A,"I look at the current stress level if it's green i will allocate the stask. otherwise, i look check the task queue.",3,4,4,3,3,3,2,"yes. because I need to adjust my strategy to achieve better score. For example, if there is not future and tested stress, I will frequently look at the task queue. If there exist future stress, i won't have to check task queue often.",I wait for the low stress level and then allocate the task to the operator. I often assign two easy tasks at the same time to fast operator and often assign one hard task to slow operator.,"Yes, it helps me know the current stress level of operator which will potentially affect if i will distribute the task to this operator.","Yes, if I know the future stress level of the operator, I can clearly know if i should distribute tasks to this operator.","yes, it can help me make decision when I was struggling with distributing tasks.",5 Levels (Right),The approach of distributing task like toss the cube will potentially involve more physical effort. Too many cubes on the table.
12,Female,34,Ambidextrous,3,3,3,5 Colors - No Prediction,No Prediction,5,2,4,446.091,216.856,229.235,0.6416666666666667,33.0,140.0,0.1907514450867052,33.49,0.1907514450867052,4.504462094057042,4,4,N/A,N/A,i check the color then queue. i think this condition is so far the easiest for me becuse i only need to focus on one ring with different colors to know whats expected.,4,3,3,3,5,4,2,not really because they get red fairly quick. so i only use the color stress feedback very briefly at the begning of each task/wait,i changed from the second condition when i saw the questionnaire said there was a fast and slow operator i started to test them out and assign harder and more task to those faster ones regardless of stress,i think current stress is enough otherwise it gives me more mental effort to rem how much more i need to add and make my decision making slower and hestitant. i think the current stress with stripes indicating future stress level is the best,i dont think so. i think it adds too much effort to the commander when you are in a time task. i think as a commander in the time and fast task you just need to have a general understanding of each operator,no same reason above. i feel like in this type of task environment where a commander deals with multiple operators the commander only needs to know a general performance to help with the team rather than too much individual information,5 Levels (Right),i like five but only in one ring (my last condition) 
