PID,Gender,Age,Handedness,Video Games,3D Environment,Immersive Tech,Condition,Presentation,Stress feedback,C,Order,Trial duration,Time Spent assigning task,Idle Time,Portion of time worked,Team success,Team failure,Team Success Rate,Team Score,Team Score per task,Team Score per minute,stress,queue,compl,allcompl,hist,portion,success,score,rank_stress,rank_queue,rank_compl,rank_allcompl,rank_hist,rank_portion,rank_success,rank_score,strategy,speed,mental,physical,temporal,performance,effort,frustration,frequency,simple,easy,support,integration,consistency,learning,intuitive,confident,prerequisites,taskQueue_pref,currentTaskCompl_pref,allTasksCompl_pref,taskHistory_pref,portionWorking_pref,success_pref,score_pref,stress_pref,strategyChange,stressFB,stressErrorCheck,prefLiteral,prefSymbolic,combinations,remarks
111,Male,28,Right-handed,5,4,5,Literal Stress,Literal,Stress,1,3,528.878,397.370,131.50800000000004,0.5983333333333334,33.0,140.0,0.1907514450867052,35.410000000000004,0.1907514450867052,4.017183547056221,4,2,2,3,2,3,3,4,5,4,6,7,8,2,3,1,"Tried to throw tasks at the operators that were least stressed or had stress decreasing. Initially gave it to only yellow stress indicators, but then gave it to all that were decreasing (and red). ",4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,Symbolic with Stress,Literal without Stress,Literal with Stress,Literal without Stress,Symbolic with Stress,Symbolic with Stress,Symbolic without Stress,Symbolic with Stress,"Conditions with stress indicators I tended to assign tasks to operators that were the least stressed. Stress (symbolic) made me more empathetic towards the operators than other conditions; however, tasks were more stressful to manage. ","Yes, to be empathetic towards operators; otherwise they can get overworked. ",No,It made me look less toward the stress levels and maybe more throughput of tasks were achieved - I can't be sure though.,Made me more empathetic towards the operators. ,Probably stress visualisation.,The representation of task management was interesting (using VR) and throwing tasks in an embodied way. 
112,Female,29,Right-handed,2,4,4,Literal Stress,Literal,Stress,1,4,579.897,310.125,269.77200000000005,0.5549999999999999,62.0,112.0,0.3563218390804598,61.52,0.3563218390804598,6.365268314890403,5,1,3,5,1,1,5,5,3,4,5,1,2,7,6,8,"When their success is very high then i assign more to them. when the success rate is same, then i check the color and number of the stress level. if the stress level is low, then i assign the task to the lower one. ",2,5,5,3,1,4,2,5,4,5,5,5,5,5,3,5,5,Literal with Stress,Symbolic without Stress,Symbolic with Stress,Literal with Stress,Literal without Stress,Literal with Stress,Literal with Stress,Literal with Stress,"yes, then there is not stress level showing, then i have to rely on the increasing and descreasing of the success level to judge it. when it have the stress level then i will rely on the stress level and success level without assign some testing tasks to make the judgement. ","yes, it will tell if the success rate increasing or decreasing ",No,"the stress level and success rate, and score ",all completion tasks bar and current completion ,all the completion task and current task ,"would be better to highlight the final task success score is based on the success rate in the game. personally, I would prefer the combination of the literal and symbolic such as success rate, score and stress using literal but the all completion tasks and current tasks using symbol. I feel the timer to reduce to which level could change to the symbolic, because it is less likely will read them all at once for me. having a visual assistant would help rather than reading them. "
113,Female,33,Right-handed,4,4,4,Literal Stress,Literal,Stress,1,2,589.635,119.112,470.523,0.5766666666666667,47.0,128.0,0.26857142857142857,50.42,0.26857142857142857,5.130631661960366,5,4,1,1,1,1,2,2,7,1,3,6,2,5,4,8,I checked stress rate almost all the time and then the task distribution. one reason is that they are visually dominating so they grabbed more of my attention. and knowing stress is made available (compared to not having it - could have been influenced by my previous condition a bit) made me paid more attention at the beginning. but I think visual domination of stress level distribution might have influenced me paid more attention throughout the task,4,3,4,3,2,3,3,4,4,4,2,5,4,3,4,4,3,Literal without Stress,Symbolic without Stress,Literal without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic with Stress,yes. i usually look at stress level first when its available then the score and success when stress is not available. I think stress level is usually very visually dominating to me so i am dawned to see it more often but it also help me judge how my operator works. Success and score would be the second items i refer to equally as it tells me how i should assign tasks to each operator.  i sometimes looks at current task and history to evenly distribute them but i don't find it crucial and i only do that when my operators are all loaded.,yes. it is something i primarily rely on because its visually easy to understand as a reference. but i think anything that is design visually dominating to me among stress/success/score i will pay attention to all three.,Yes,no,yes,"i like task queue literal, stress level success and score symbolic. so when i refer to those it doesnt cover up the entire screen which sometimes is distracting and visually exhausting. to the point sometimes i shut down and go blind on certain information i found too ""busy"".",I think its a very interesting task and system. i personally think the visual design might have influenced how i prioritize information as they are not equally distributed the same size/color/motion so certain information gets my attention. but if you wanted to emphasize certain information i think its a good design to capture my attention on stress level for sure. :P
114,Female,54,Right-handed,2,1,1,Literal Stress,Literal,Stress,1,1,623.587,180.896,442.69100000000003,0.5216666666666666,114.0,60.0,0.6551724137931034,118.43,0.6551724137931034,11.395041910751829,5,5,1,5,2,1,5,5,2,4,3,5,1,7,6,8,Stress level scores coupled with success/failure scores,4,4,3,4,4,3,1,2,4,4,4,4,3,4,4,2,4,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,Literal without Stress,Symbolic with Stress,Symbolic with Stress,"yes, stress became more important in the last scenario, when it was represented visually","Yes, as it's linked to success of tasks completed, as well as operator safety and wellbeing",Yes,Success and scores,stress,Symbolic stress and literal success and scores,"I couldn't read some fields during the simulations, e.g. time to complete task and task history. The tasks were clearly explained to me. All the best with the research!"
115,Male,24,Right-handed,5,4,4,Literal Stress,Literal,Stress,1,3,679.021,525.097,153.92399999999998,0.5016666666666666,170.0,6.0,0.9659090909090909,169.32,0.9659090909090909,14.961540217460136,5,1,1,1,1,1,1,1,5,4,3,2,1,7,6,8,"Stay in green, if reach 20 send 1 cube if reach 10 send 2",2,2,1,1,1,1,2,5,3,4,4,3,3,3,4,4,4,Literal without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Symbolic without Stress,Symbolic with Stress,Symbolic with Stress,Literal with Stress,"yes, I was changing according to the different prompt","yes, having feedback from the operator allows us to tell if he can work more or rest.",No,better for unnecessary component since it takes less space and more accurate for stress ,easier to tell what it is with a rapid look,none,nan
116,Male,36,Left-handed,4,4,4,Literal Stress,Literal,Stress,1,4,641.365,410.341,231.024,0.505,153.0,19.0,0.8895348837209303,153.85999999999999,0.8895348837209303,14.393675987931987,4,3,2,2,3,3,4,4,4,3,2,5,1,7,6,8,If the operator's stress level is reached to red (over 50%) wait until turn to green (below 40%).,3,3,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,Symbolic with Stress,Symbolic with Stress,Literal with Stress,Symbolic with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Symbolic with Stress,"Without stress level, I assigned the tasks based only on the success rate and score.","In order to increase the success rate of the tasks, the stress level is only indicator.",Yes,It is easy to notice the success/failure and score.,It is easy to notice task history and task queue. (easy to load balancing of tasks),"Literal condition (success/failure, score), Symbolic condition (task history, queue, stress level)",nan
117,Male,33,Right-handed,5,5,5,Literal Stress,Literal,Stress,1,2,711.510,428.789,282.721,0.47,170.0,2.0,0.9883720930232558,168.89000000000001,0.9883720930232558,14.24210481932791,5,1,1,1,1,1,1,1,7,6,5,8,2,3,4,1,"I looked at stress only, if it was under 10%, I would give them a task.",1,2,3,2,2,2,2,4,4,4,4,4,4,3,4,4,4,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"Yes, the only thing you really needed with the stress conditions is stress. Without stress I needed to rely on a combination of other components.","Yes, it makes it a lot easier to assign tasks to get the maximum score",Yes,Numbers make it easier to read.,The stress graph had a time aspect to it.,I would remove everything except the stress graph because that is all that is needed - and I like the stress graph more than just the number. The rest is just clutter when the stress indicator exists.,nan
118,Male,26,Right-handed,5,5,5,Literal Stress,Literal,Stress,1,1,640.369,425.649,214.72000000000003,0.515,118.0,56.0,0.6781609195402298,124.78,0.6781609195402298,11.691384186305083,5,5,3,3,2,3,3,3,2,5,4,7,8,3,6,1,"I tried my luck and kept all of the workers at around 50% task completion chance, buy timing single tasks to be completed at around the 55% threshold.",1,4,3,4,3,3,1,5,5,5,4,5,5,5,5,5,4,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,When there was a stress indicator I only used that to distribute tasks. When there was no stress indicator I used the failure/score to indicate when to assign a task and when to wait for their stress level to reduce.,"Yes. Although it felt like ""cheating"" a bit because in the real world you wouldn't be able to see the stress level of workers. Its important for these tasks I think because I could more easily balance out the task work load.",Yes,I think I can understand percentages and numbers (especially success / score) a lot easier than pie graphs.,The stress level graph was clearer to read for me than a simple percentage number and I could also see a bit in the past of their stress level.,Symbolic Stress + Literal everything else. (And maybe keep the stress percentage on the symbolic stress as well).,nan
119,Male,28,Right-handed,5,5,4,Literal Stress,Literal,Stress,1,3,663.683,255.245,408.438,0.5116666666666667,143.0,32.0,0.8171428571428572,152.53,0.8171428571428572,13.789414524705318,5,3,2,2,2,2,4,4,4,3,1,2,5,7,6,8,I assigned tasks to operators that were the least stressed,2,3,2,3,1,2,2,5,5,5,3,5,5,4,5,4,3,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,Literal with Stress,For the conditions that had stress levels i assigned tasks based on operator stress levels and for conditions without stress levels i assigned tasks based on success rate.,It helps to decided who to assign tasks,Yes,Having the written information available to read quickly,the boxes looked cool,Literal with the addition of the graph,nan
120,Male,29,Right-handed,4,2,4,Literal Stress,Literal,Stress,1,4,855.907,443.344,412.56300000000005,0.41,145.0,27.0,0.8430232558139535,148.93999999999997,0.8430232558139535,10.44085397128426,5,4,4,4,5,4,5,5,5,6,7,4,8,1,2,3,Pay attention on operators' stress level and their abilities to different tasks.,4,5,3,4,3,5,4,5,4,4,4,4,4,4,4,4,3,Literal without Stress,Literal without Stress,Literal without Stress,Symbolic without Stress,Symbolic with Stress,Literal without Stress,Literal without Stress,Literal without Stress,Yes I focus more on recognizing each participants' strength and weakness without stress indicator. Because I do not have a clear feedback about the stress level of operators reacting to an assigned task. ,Yes. It is a very useful metric to reflect an employee's competency to different task.,Yes,Communication between supervisor and operators. Have a better insight of operators' stress level.,Real time monitoring their stress level in the workplace to better understand their status. ,I would prefer both symbolic and literal stress indicator. It helps me better understand the status of each operator in a team. ,nan
121,Male,24,Right-handed,5,5,5,Literal Stress,Literal,Stress,1,2,685.631,598.207,87.42399999999998,0.49666666666666665,157.0,17.0,0.9022988505747126,155.42,0.9022988505747126,13.600901942881812,5,1,2,3,1,1,4,3,2,4,5,1,3,7,6,8,"Waiting for stress level to be green before assigning a task, except for one operator which seemed to required a lower stress level in order to perform decently. Was also looking at the task progress to know where I should probably look next.",2,4,3,3,4,3,1,4,5,5,5,5,5,5,5,5,5,Literal with Stress,Symbolic with Stress,Symbolic with Stress,Literal with Stress,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,"My strategy changed in every condition I believe, depending on the available information (stress or no stress), but also because of how fast and how easy it was to read the information.",Definitely yes. Especially the graph. Tells how fast operators begin stressing and makes it much easier for the manager to choose to give tasks to.,No,Some information were easier to read.,Stress graph!!,Keep non-crucial information (such as task history) as text - everything else should be visual,"Pretty cool simulation! My only concerns were framerate and the cubes. The low framerate made me a bit sick, and the cubes were a bit hard to handle - throwing them would sometimes fail and also their constant movement when there are too many of them is distracting. I'd also disable any feedback (particles+vibration) *unless* it actually hits an operator or fall into a basket (as a confirmation if you will).
Other than that, had fun playing around with it :p"
122,Male,26,Right-handed,4,4,4,Literal Stress,Literal,Stress,1,1,628.598,200.333,428.265,0.545,49.0,125.0,0.28160919540229884,49.97,0.28160919540229884,4.769662009742316,3,4,3,4,3,3,4,3,3,1,2,6,4,7,5,8,"check the balance of task, try to keep a low stress and see the success rate",2,4,3,3,2,3,3,3,3,4,2,2,3,2,2,3,2,Symbolic with Stress,Literal with Stress,Symbolic with Stress,Literal without Stress,Symbolic with Stress,Symbolic without Stress,Symbolic without Stress,Symbolic with Stress,"no, i always keep tracking the successful rate and the stress, and it help me a lot ","yes, when the stress goes up, i can see the successful rate goes down, and if i don't have the feedback on the stress, the only matrix is the successful rate and the task queue. ",Yes,"task queue, success/failure, score",stress,"stress, success/failure ",nan
123,Male,51,Right-handed,2,2,2,Literal Stress,Literal,Stress,1,3,733.200,703.352,29.84800000000007,0.505,131.0,43.0,0.7528735632183908,133.02,0.7528735632183908,10.88543371522095,5,2,3,2,1,4,5,5,2,3,4,1,5,6,8,7,Maximizing the score by allocating with may increase the score of the operator chosen. The stress level and the current task completion help to make a guess,5,3,1,2,4,3,1,4,4,5,5,4,4,4,4,5,3,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Literal without Stress,Symbolic with Stress,Yes. Try to guess the stress and the probability of increasing score with other information such as portion of time and task queue,Yes to guess the positive impact of the task allocation on the score,Yes,Score value,curve of stress with colors,keep literal score and stress curve,nan
124,Male,27,Right-handed,5,5,5,Literal Stress,Literal,Stress,1,4,692.799,662.193,30.605999999999995,0.49833333333333335,174.0,4.0,0.9775280898876404,173.78999999999996,0.9775280898876404,15.051118722746422,5,4,4,3,2,3,4,4,5,4,2,1,3,7,6,8,"I primarily focused on their stress level. I identified some gained stress slower or lost stress faster so I would essentially rotate through the workers and give them a task if I thought they could complete that task without their stress getting too high. Generally if they were in the low 20% or below I would give them a task, sometimes two if they were very low stress.",4,4,3,4,4,2,1,4,3,4,4,5,5,4,3,4,4,Literal without Stress,Symbolic without Stress,Symbolic with Stress,Literal with Stress,Symbolic without Stress,Literal without Stress,Symbolic without Stress,Symbolic with Stress,"Yes, without the stress indicator I had to look for other insights from the other data. I thought perhaps the animations indicated stress though I realized this was not the case quite quickly in the conditions with the stress indicators. When there was not stress indicators I typically looked at how often a worker was failing a task, often watching to see how the number/graphic changed so I could try to guess their stress level.","Yes, I think without them there was a lot of guess work. I could only really tell if a worker was stressed by when they failed tasks or didn't.",Yes,I found keeping track of success rate and score easier in the literal conditions. I also liked seeing the history of their stress levels as it was sometimes clearer than keeping track of a graph. I also found it easier to use the task queue in the literal conditions.,"I preferred the graph for stress, although the text in the literal condition was easy to read I liked to be able to visualize the rate of change of stress so I could approximate how high it might go with each task.",I think I would include the % number alongside the stress graph and the successes and failures. I would also probably use the task queue from the literal visualizations.,This was a very interesting and engaging study! I really enjoyed it!
101,Male,27,Right-handed,3,4,4,Symbolic Stress,Symbolic,Stress,2,3,718.531,498.691,219.83999999999997,0.5033333333333333,89.0,86.0,0.5085714285714286,96.18,0.5085714285714286,8.031386258908801,5,4,3,1,1,1,1,1,8,7,5,6,2,1,3,4,"look the stress, may sure it will not red",3,5,4,4,2,2,4,4,5,4,3,5,5,4,4,4,4,Symbolic with Stress,Symbolic with Stress,Symbolic without Stress,Literal with Stress,Literal without Stress,Literal with Stress,Literal with Stress,Symbolic with Stress,"Yes, since different representations have different intuitive feeling for me, this has led to a change in focus of my cognition.","Yes, it's about the efficiency of the error rate.",Yes,straightforward and simple,beautiful and three-dimensional,May be Literal.,hope have more interactions
102,Male,19,Right-handed,3,1,1,Symbolic Stress,Symbolic,Stress,2,4,741.053,396.879,344.174,0.5116666666666667,125.0,52.0,0.7062146892655368,127.41000000000001,0.7062146892655368,10.315861348648477,5,1,2,4,3,3,4,5,8,1,3,4,2,5,6,7,try my best to keep the stress fluctuate at medium status,5,3,5,4,2,3,2,5,5,5,4,3,3,5,5,4,4,Literal with Stress,Literal with Stress,Literal with Stress,Literal without Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,Symbolic with Stress,"sure,it is because when condition changed the thing I focus changed, so I try to change strategy to keep stress less and score more","Yes, as it is a more intuitive method of increasing success to gain scores compared to making a assumption and estimating the rate of success by the portion of working time.",No,"Task queue and history as if it is too outstanding ,it might impact your focus and the speed you made decision.","success and stress, since it is very intuitive to estimate your current results","Task queue,Current task completion, All task completion, and task history-literal and the other things could be symbolic.","If it is possible, I prefer the redesign of component,  the most frequently used part(for example,  I really prefer using the stress, the score,etc) could be highlighted or resized larger while the less frequently used part like Task history ,which can be indirectly used to estimate the stress, can be resized smaller or removed."
103,Male,37,Right-handed,3,4,4,Symbolic Stress,Symbolic,Stress,2,2,673.654,450.819,222.83499999999998,0.5166666666666667,73.0,100.0,0.42196531791907516,70.06,0.42196531791907516,6.239998574936095,5,3,2,4,3,2,5,5,8,4,2,5,3,1,7,6,Wait for operators to lower stress.,4,3,2,4,3,3,3,5,4,4,4,4,5,4,4,4,3,Symbolic without Stress,Literal with Stress,Symbolic with Stress,Symbolic without Stress,Symbolic without Stress,Symbolic without Stress,Literal without Stress,Symbolic with Stress,"Yes, because in the absence of a stress indicator, I focused more on success score.","Yes, as the coordinator, I appreciated knowing how stress operators were.",Yes,The scores are best as a number because you can remember them easier.,The stress chart was great help and gives a sense of how fats stress increases/decreases.,Both stress and success score could be both literal and symbolic.,"No, thank you Tom!"
